puuid,region,rank
4mlkVL9ZDVnkMmDm8pcnMdlW1KAhQ-aAVvc1kbZmqBhBjhGPNCQ3R1yO8QgG3bdwdoszTHL9XHhIvA,na1,CHALLENGER
RIxyoEK24QV8MGjgUHhCDlFrX-ogWEdSkFim9rBmyD7gFiOfOM234Q0rEp8S5vVcfJD1KHK6XqDHaQ,na1,CHALLENGER
zRCQ3Fa8FXPwT4j77pfeakTE3X7EAo7tuxDXSauQkJvfr4ZL9L9g9G0tM4LbnvqT-LVNqIfqASiOmQ,na1,CHALLENGER
TMHy3dv0-0x9NGrjDu3NqzF0C4QoTtMK7nmAyQDJoirjEFSpF3WZt3jgbohCzDCyIXRXRM0OgykvKg,na1,CHALLENGER
eiXkNaPpBi2oYKTjROgqar0n0gwNZNwnfBE878xyYgdq2ZhjE3-bjvdcFmT-M-whYzMMzFP_TLOa9g,na1,CHALLENGER
mDONX5jwXmeTfxDHPIaWcob0uTSdlMEh9eOoKKu3VBoVMXUDV7QRv2ydL0usEoYF9IzTdSfBkRmq_g,na1,CHALLENGER
FEc0aFXU6_kJSlFp_P3KID7xN28nqz-Fr8FfbQDOXtldULtVBCBPgNByrPgzkn_CCzNJ6PyliLqL9g,na1,CHALLENGER
Vbb4uIxn7Qya-nsP4t1KgiMNBCMHe2iDbiPuef4qbb6MfJc3sqnktfKssYVUKarq43QV7AS9sPE27Q,na1,CHALLENGER
cFVXVLmyzseBcjwyVeKVkWZrglGllF2kNsk629FQKU9_vYwWsZZtT656lAu5dkGsXJxgGkNw7UP2xg,na1,CHALLENGER
DLdPVa4Ih8pEJOIYxUOlkY_P3muWbZcgN1bgXXleIxQq_EKw08PngHgzCO3NKJXujPlCWipm8EmFfw,na1,CHALLENGER
Vj4Aj2irsWhjPeoO9yAaX_H0NJqp51yBo9FrW5e4ujydJWIO7BMeywmIsSRSLRasLI3RiL2Z69JKMA,na1,CHALLENGER
P-bspcn-HYgELddu8tBEM1KXHkA3hSyAqRcRB4IdRpHz6q96NAmysBNi-jgiGNOhGA2ULmx70xBajA,na1,CHALLENGER
3M_WswQShPXMcPuEz0NsduORwWzc2bgMaG_PpP5bWPmerD-Db1SgYAyaubluhnjxB-PFqVnzWsjeHA,na1,CHALLENGER
47j03aZlC1E8ytQdJHLTvTg7gPPPFgIisIuhKggRqJAkjKus663vIAltrE4WvUlEsVPo3W2pD2xDUQ,na1,CHALLENGER
7Klqvgic75K--HQuRuYHNuCitEjMCVgC590JfJ3lkKWyyRFlBT4BWi43c4_OoMq989omyZe6bBZ7kw,na1,CHALLENGER
RNT34Q1-ZqECnmoY2R6LO86vD7f-dKCw2TUO0OlVzqYoCwBPGjN4-WsjWv-PmzTIzADZStzMw1Pc2A,na1,CHALLENGER
Z3vBhbJoKOgBgCRNtYnOiBPyM3tAfR0BgP65aeFz21EGpGUAUGRqemXmG10eBhE20UqrYRT9YE9WAg,na1,CHALLENGER
TNziHZgQWNbW2cCU46hJeBkaef8fBNXCjzXt8kP2kUHJhCfuwNJvudGpCvrdMNZtaicmq8_FtalXvQ,na1,CHALLENGER
ou9zqqIiyE4CM-Pccqs67BuI7aZwgcjR5gZK_7LhFk7Acd9EslsEsiBoLQMNZ29jx-OoAtSRtyibLw,na1,CHALLENGER
UCIHALrrJ3rhx9fQBrHxEVLJuDYbfFDa5YSP12WBxZ908DNfqQf64c6b6OsPpFfQyjxyszD2aqTDig,na1,CHALLENGER
Sla9CVAyDKkWYgxA069aiGTLIdYdcUfjLa5u4omKAUHvzW0ntWBa5cyuMIOIh3T5R8pUCffYXnKWwg,na1,CHALLENGER
3aXHfChfHt0Un0OGWSQIGTYP7vS_n6aRYyHoTxPtTu0GUzq8WpO2V1tuSs0BdXYRE56b1JkWR9CY-g,na1,CHALLENGER
1-nl8EObIQVi0u3zlx7FrCCKqVJzLbsFpYQBS8IS0bsve-PDNvUWuo-CHs4WgJLiz6q3HWS9nYEAtQ,na1,CHALLENGER
usJkTSbFo3oXkeZ9gdfDhH8tHrFP0UwkQhqL6gZoROF6i-RuJlnupBKJ8txCHYk9Ygjq9HZmDeS6Ag,kr,CHALLENGER
LxLhzC0BNuuge9tS1wLMSP4ZSo6h0Lq-0lVwdRxrmLaVjgaAmtj1330p5llveSJw9WpSGXwevDFtzw,kr,CHALLENGER
5LtfzB9H8gOIW4BXt2H9F6xTtc5U61mlhIRoYGrx0zKki7viS4DKxoZeyy71YZngJPCcMTO7d153GA,kr,CHALLENGER
0Qb1TpGZwOERWWLgZdXFa8qwdklG8N2nlg5Cg8D3y3mgE9spw6AgJqI4U4Vk-AMFqTiRnBiAip8NCw,kr,CHALLENGER
9FRDkcXZC7qLg5oRG2KojW-tiqUy86R5TxtfP5HEOikLRPYSfClU0DZyXOInKMp3rC5oIkIaXwpneQ,kr,CHALLENGER
SyBnxn6sokZzk4FONZqwkuckQXyt-2cjcjidTM6XB9WtqWFYF_D9QRNJhu_rEIDd8vaTwUjxr2QbHw,kr,CHALLENGER
nS94xovt9CGevWaDnaoY__QRY81iMH1Cpgar3W10hwsiG9wj1zplVQ1ne3sc1RJ7lCnFUXofEIQIMg,kr,CHALLENGER
